employee_id,name,location,role,employment_type,hourly_rate,hire_date,term_date,dataset
1021,Quinn Li,YYC-NW,Bookseller,PERM,19.9,6/1/2023,,bookstore_employees
1022,Casey Gordon,YYC-NW,Bookseller,PERM,19.95,10/7/2018,,bookstore_employees
1023,Hayden Brown,YYC-NW,Bookseller,PERM,21,12/2/2023,,bookstore_employees
1024,Taylor Chen,YYC-NW,Bookseller,PERM,17.93,8/11/2018,,bookstore_employees
1025,Jordan Pereira,YYC-NW,Bookseller,PERM,18.98,2/1/2020,,bookstore_employees
1026,Parker Young,YYC-NW,Seasonal Associate,SEASONAL,16.84,,,bookstore_employees
1027,Quinn Singh,YYC-NW,Seasonal Associate,SEASONAL,17.3,,,bookstore_employees
1028,Sage Thompson,YYC-NW,Seasonal Associate,SEASONAL,16.97,,,bookstore_employees
1029,Elliot Brown,YYC-NW,Seasonal Associate,SEASONAL,17.39,,,bookstore_employees
1030,Dylan Smith,YYC-NW,Seasonal Associate,SEASONAL,17.71,,,bookstore_employees
1031,Elliot Clark,YYC-NW,Warehouse Clerk,PERM,18.78,7/2/2020,,bookstore_employees
1032,Harper Young,YYC-NW,E‑Commerce Specialist,PERM,27.81,9/23/2020,,bookstore_employees
1033,Parker White,YYC-SE,Store Manager,PERM,31.57,1/26/2021,,bookstore_employees
1034,Casey Campbell,YYC-SE,Assistant Manager,PERM,26.37,9/1/2021,,bookstore_employees
1035,Taylor Singh,YYC-SE,Bookseller,PERM,17.29,10/27/2022,,bookstore_employees
1036,Jessie Roy,YYC-SE,Bookseller,PERM,18.8,10/22/2019,,bookstore_employees
1037,Rowan Smith,YYC-SE,Bookseller,PERM,19.13,7/22/2022,12/15/2023,bookstore_employees
1038,Riley Brown,YYC-SE,Bookseller,PERM,21.09,11/13/2020,,bookstore_employees
1039,Dylan Anderson,YYC-SE,Seasonal Associate,SEASONAL,16.42,,,bookstore_employees
1040,Brooklyn Adams,YYC-SE,Seasonal Associate,SEASONAL,16.83,,,bookstore_employees
1041,Parker Wilson,YYC-SE,Seasonal Associate,SEASONAL,17.86,,,bookstore_employees
1042,Parker Pereira,YYC-SE,Seasonal Associate,SEASONAL,17.13,,,bookstore_employees
1043,Casey Baker,YYC-SE,Warehouse Clerk,PERM,21.61,2/17/2024,,bookstore_employees
1044,Quinn Campbell,YYC-SE,E‑Commerce Specialist,PERM,27.48,6/8/2018,,bookstore_employees
1045,Jessie Adams,YYC-WH,Seasonal Associate,SEASONAL,16.27,,,bookstore_employees
1046,Taylor Young,YYC-WH,Seasonal Associate,SEASONAL,16.08,,,bookstore_employees
1047,Harper Wilson,YYC-WH,Seasonal Associate,SEASONAL,16.11,,,bookstore_employees
1048,Elliot Foster,YYC-WH,Seasonal Associate,SEASONAL,16.7,,,bookstore_employees
1049,Riley Wilson,YYC-WH,Seasonal Associate,SEASONAL,17.24,,,bookstore_employees
1050,Brooklyn Chen,YYC-WH,Seasonal Associate,SEASONAL,16.8,,,bookstore_employees
1051,Quinn Adams,YYC-WH,Warehouse Clerk,PERM,18.1,6/7/2021,,bookstore_employees
1052,Skyler Gagnon,YYC-WH,Warehouse Clerk,PERM,21.03,3/9/2020,,bookstore_employees
1053,Riley Baker,YYC-WH,Warehouse Clerk,PERM,19.02,5/3/2020,,bookstore_employees
1054,Hayden Gordon,YYC-WH,Warehouse Clerk,PERM,19.89,7/19/2020,,bookstore_employees
1055,Sam Roy,YYC-DT,Seasonal Associate,SEASONAL,17.86,7/4/2019,8/22/2019,bookstore_employees
1056,Sam Turner,YYC-DT,Seasonal Associate,SEASONAL,17.64,7/7/2019,8/24/2019,bookstore_employees
1057,Dylan Anderson,YYC-DT,Seasonal Associate,SEASONAL,16.99,7/4/2019,8/22/2019,bookstore_employees
1058,Taylor Martin,YYC-DT,Seasonal Associate,SEASONAL,16.73,11/24/2019,12/26/2019,bookstore_employees
1059,Spencer Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.37,11/20/2019,12/30/2019,bookstore_employees
1060,Hayden Martin,YYC-DT,Seasonal Associate,SEASONAL,17.79,11/20/2019,12/23/2019,bookstore_employees
1061,Harper MacLeod,YYC-DT,Seasonal Associate,SEASONAL,17.57,11/22/2019,12/26/2019,bookstore_employees
1062,Dylan Adams,YYC-DT,Seasonal Associate,SEASONAL,16.98,11/11/2019,12/27/2019,bookstore_employees
1063,Brooklyn Li,YYC-NW,Seasonal Associate,SEASONAL,16.22,7/10/2019,8/22/2019,bookstore_employees
1064,Quinn Li,YYC-NW,Seasonal Associate,SEASONAL,16.93,7/1/2019,8/31/2019,bookstore_employees
1065,Riley Foster,YYC-NW,Seasonal Associate,SEASONAL,17.57,11/24/2019,12/30/2019,bookstore_employees
1066,Elliot Gagnon,YYC-NW,Seasonal Associate,SEASONAL,16.73,11/11/2019,12/28/2019,bookstore_employees
1067,Quinn Foster,YYC-NW,Seasonal Associate,SEASONAL,17.35,11/11/2019,12/28/2019,bookstore_employees
1068,Spencer Patel,YYC-NW,Seasonal Associate,SEASONAL,16.18,11/24/2019,12/27/2019,bookstore_employees
1069,Spencer Chen,YYC-SE,Seasonal Associate,SEASONAL,16,7/14/2019,8/28/2019,bookstore_employees
1070,Parker Roy,YYC-SE,Seasonal Associate,SEASONAL,16.64,7/4/2019,8/30/2019,bookstore_employees
1071,Morgan Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.23,7/14/2019,8/24/2019,bookstore_employees
1072,Jamie Smith,YYC-SE,Seasonal Associate,SEASONAL,17.36,7/1/2019,8/29/2019,bookstore_employees
1073,Sam Brown,YYC-SE,Seasonal Associate,SEASONAL,16.25,7/11/2019,8/24/2019,bookstore_employees
1074,Morgan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.26,11/21/2019,12/23/2019,bookstore_employees
1075,Avery Baker,YYC-SE,Seasonal Associate,SEASONAL,16.24,11/10/2019,12/29/2019,bookstore_employees
1076,Reese Young,YYC-DT,Seasonal Associate,SEASONAL,17.34,7/1/2020,8/26/2020,bookstore_employees
1077,Taylor Chen,YYC-DT,Seasonal Associate,SEASONAL,16.12,7/15/2020,8/28/2020,bookstore_employees
1078,Dylan Young,YYC-DT,Seasonal Associate,SEASONAL,16.33,7/5/2020,8/23/2020,bookstore_employees
1079,Brooklyn Hughes,YYC-DT,Seasonal Associate,SEASONAL,16.13,7/8/2020,8/28/2020,bookstore_employees
1080,Quinn Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.35,7/7/2020,8/25/2020,bookstore_employees
1081,Alex Baker,YYC-DT,Seasonal Associate,SEASONAL,17.22,11/21/2020,12/26/2020,bookstore_employees
1082,Sage Brown,YYC-DT,Seasonal Associate,SEASONAL,16.4,11/17/2020,12/31/2020,bookstore_employees
1083,Jessie Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.92,11/12/2020,12/26/2020,bookstore_employees
1084,Quinn Gordon,YYC-DT,Seasonal Associate,SEASONAL,16.78,11/23/2020,12/26/2020,bookstore_employees
1085,Harper Turner,YYC-DT,Seasonal Associate,SEASONAL,17.05,11/24/2020,12/26/2020,bookstore_employees
1086,Jordan Clark,YYC-NW,Seasonal Associate,SEASONAL,16.04,7/7/2020,8/24/2020,bookstore_employees
1087,Reese Wilson,YYC-NW,Seasonal Associate,SEASONAL,17.36,7/9/2020,8/31/2020,bookstore_employees
1088,Brooklyn Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.24,11/20/2020,12/29/2020,bookstore_employees
1089,Sage Foster,YYC-NW,Seasonal Associate,SEASONAL,17.21,11/20/2020,12/27/2020,bookstore_employees
1090,Quinn Hughes,YYC-NW,Seasonal Associate,SEASONAL,16.2,11/13/2020,12/24/2020,bookstore_employees
1091,Avery Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.28,7/13/2020,8/31/2020,bookstore_employees
1092,Jordan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.09,7/3/2020,8/30/2020,bookstore_employees
1093,Rowan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.79,7/4/2020,8/30/2020,bookstore_employees
1094,Finley Young,YYC-SE,Seasonal Associate,SEASONAL,17.17,11/22/2020,12/22/2020,bookstore_employees
1095,Casey Li,YYC-SE,Seasonal Associate,SEASONAL,16.55,11/22/2020,12/22/2020,bookstore_employees
1096,Parker Gordon,YYC-SE,Seasonal Associate,SEASONAL,16.29,11/11/2020,12/26/2020,bookstore_employees
1097,Avery Gagnon,YYC-DT,Seasonal Associate,SEASONAL,16.5,7/7/2021,8/30/2021,bookstore_employees
1098,Finley Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.8,7/10/2021,8/23/2021,bookstore_employees
1099,Robin Turner,YYC-DT,Seasonal Associate,SEASONAL,17.59,11/15/2021,12/25/2021,bookstore_employees
1100,Jamie Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.34,11/12/2021,12/28/2021,bookstore_employees
1101,Jordan Pereira,YYC-DT,Seasonal Associate,SEASONAL,16.49,11/11/2021,12/25/2021,bookstore_employees
1102,Rowan Roy,YYC-DT,Seasonal Associate,SEASONAL,16.64,11/15/2021,12/25/2021,bookstore_employees
1103,Sam Roy,YYC-DT,Seasonal Associate,SEASONAL,17.74,11/21/2021,12/31/2021,bookstore_employees
1104,Spencer Smith,YYC-NW,Seasonal Associate,SEASONAL,17.91,7/2/2021,8/31/2021,bookstore_employees
1105,Taylor Foster,YYC-NW,Seasonal Associate,SEASONAL,16.72,7/2/2021,8/24/2021,bookstore_employees
1106,Jamie Smith,YYC-NW,Seasonal Associate,SEASONAL,16.04,11/11/2021,12/28/2021,bookstore_employees
1107,Elliot Gordon,YYC-NW,Seasonal Associate,SEASONAL,17.63,11/14/2021,12/31/2021,bookstore_employees
1108,Morgan Li,YYC-SE,Seasonal Associate,SEASONAL,18,7/4/2021,8/25/2021,bookstore_employees
1109,Jessie MacLeod,YYC-SE,Seasonal Associate,SEASONAL,17.64,7/13/2021,8/30/2021,bookstore_employees
1110,Elliot Wilson,YYC-SE,Seasonal Associate,SEASONAL,17.12,7/8/2021,8/31/2021,bookstore_employees
1111,Quinn Hughes,YYC-SE,Seasonal Associate,SEASONAL,16.77,11/20/2021,12/26/2021,bookstore_employees
1112,Robin Patel,YYC-SE,Seasonal Associate,SEASONAL,16.81,11/23/2021,12/23/2021,bookstore_employees
1113,Casey Gagnon,YYC-DT,Seasonal Associate,SEASONAL,16.11,7/11/2022,8/25/2022,bookstore_employees
1114,Sage Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.3,7/5/2022,8/31/2022,bookstore_employees
1115,Casey Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.04,7/12/2022,8/28/2022,bookstore_employees
1116,Rowan Chen,YYC-DT,Seasonal Associate,SEASONAL,17.9,7/11/2022,8/23/2022,bookstore_employees
1117,Jessie Adams,YYC-DT,Seasonal Associate,SEASONAL,16.61,11/12/2022,12/30/2022,bookstore_employees
1118,Parker Thompson,YYC-DT,Seasonal Associate,SEASONAL,17.17,11/10/2022,12/23/2022,bookstore_employees
1119,Finley Thompson,YYC-DT,Seasonal Associate,SEASONAL,17.51,11/21/2022,12/30/2022,bookstore_employees
1120,Jordan Roy,YYC-DT,Seasonal Associate,SEASONAL,16.62,11/23/2022,12/30/2022,bookstore_employees
1121,Riley Smith,YYC-DT,Seasonal Associate,SEASONAL,16.04,11/16/2022,12/27/2022,bookstore_employees
1122,Hayden Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.22,7/5/2022,8/22/2022,bookstore_employees
1123,Spencer Gagnon,YYC-NW,Seasonal Associate,SEASONAL,17.46,7/15/2022,8/27/2022,bookstore_employees
1124,Riley White,YYC-NW,Seasonal Associate,SEASONAL,17.09,7/6/2022,8/30/2022,bookstore_employees
1125,Riley Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.39,11/13/2022,12/25/2022,bookstore_employees
1126,Taylor Campbell,YYC-NW,Seasonal Associate,SEASONAL,17.11,11/10/2022,12/31/2022,bookstore_employees
1127,Harper Singh,YYC-SE,Seasonal Associate,SEASONAL,17.41,7/11/2022,8/26/2022,bookstore_employees
1128,Riley Smith,YYC-SE,Seasonal Associate,SEASONAL,17.02,7/5/2022,8/22/2022,bookstore_employees
1129,Sam Turner,YYC-SE,Seasonal Associate,SEASONAL,17.09,7/4/2022,8/29/2022,bookstore_employees
1130,Taylor Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.81,11/10/2022,12/24/2022,bookstore_employees
1131,Riley Anderson,YYC-SE,Seasonal Associate,SEASONAL,16.61,11/17/2022,12/24/2022,bookstore_employees
1132,Jessie MacLeod,YYC-SE,Seasonal Associate,SEASONAL,16.88,11/17/2022,12/25/2022,bookstore_employees
1133,Casey Gagnon,YYC-SE,Seasonal Associate,SEASONAL,16.31,11/24/2022,12/28/2022,bookstore_employees
1134,Morgan Foster,YYC-DT,Seasonal Associate,SEASONAL,17.88,7/7/2023,8/28/2023,bookstore_employees
1135,Spencer White,YYC-DT,Seasonal Associate,SEASONAL,17.71,7/2/2023,8/30/2023,bookstore_employees
1136,Jamie Roy,YYC-DT,Seasonal Associate,SEASONAL,17.35,7/7/2023,8/29/2023,bookstore_employees
1137,Jamie Patel,YYC-DT,Seasonal Associate,SEASONAL,17.02,7/13/2023,8/28/2023,bookstore_employees
1138,Casey Brown,YYC-DT,Seasonal Associate,SEASONAL,16.77,11/10/2023,12/26/2023,bookstore_employees
1139,Jordan Baker,YYC-DT,Seasonal Associate,SEASONAL,17.38,11/24/2023,12/24/2023,bookstore_employees
1140,Reese Pereira,YYC-DT,Seasonal Associate,SEASONAL,16.65,11/22/2023,12/29/2023,bookstore_employees
1141,Reese Patel,YYC-DT,Seasonal Associate,SEASONAL,17.63,11/16/2023,12/24/2023,bookstore_employees
1142,Brooklyn Foster,YYC-NW,Seasonal Associate,SEASONAL,17.89,7/6/2023,8/27/2023,bookstore_employees
1143,Sam Baker,YYC-NW,Seasonal Associate,SEASONAL,16.52,7/9/2023,8/22/2023,bookstore_employees
1144,Harper Adams,YYC-NW,Seasonal Associate,SEASONAL,16.99,7/4/2023,8/27/2023,bookstore_employees
1145,Jordan Singh,YYC-NW,Seasonal Associate,SEASONAL,17.64,11/23/2023,12/24/2023,bookstore_employees
1146,Dylan Foster,YYC-NW,Seasonal Associate,SEASONAL,16.5,11/20/2023,12/27/2023,bookstore_employees
1147,Hayden Brown,YYC-NW,Seasonal Associate,SEASONAL,17.7,11/20/2023,12/27/2023,bookstore_employees
1148,Riley Martin,YYC-SE,Seasonal Associate,SEASONAL,16.89,7/13/2023,8/30/2023,bookstore_employees
1149,Casey Gagnon,YYC-SE,Seasonal Associate,SEASONAL,16.57,7/15/2023,8/22/2023,bookstore_employees
1150,Brooklyn Li,YYC-SE,Seasonal Associate,SEASONAL,16.04,11/13/2023,12/22/2023,bookstore_employees
1151,Reese Wilson,YYC-SE,Seasonal Associate,SEASONAL,16.75,11/19/2023,12/23/2023,bookstore_employees
1152,Quinn Thompson,YYC-SE,Seasonal Associate,SEASONAL,17.06,11/18/2023,12/25/2023,bookstore_employees
1153,Riley Smith,YYC-SE,Seasonal Associate,SEASONAL,16.55,11/21/2023,12/29/2023,bookstore_employees
1154,Brooklyn Gagnon,YYC-SE,Seasonal Associate,SEASONAL,18,11/24/2023,12/29/2023,bookstore_employees
1155,Jordan Singh,YYC-DT,Seasonal Associate,SEASONAL,17.45,7/8/2024,8/27/2024,bookstore_employees
1156,Harper Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.61,7/13/2024,8/29/2024,bookstore_employees
1157,Alex Smith,YYC-DT,Seasonal Associate,SEASONAL,16.09,11/19/2024,12/29/2024,bookstore_employees
1158,Riley Wilson,YYC-DT,Seasonal Associate,SEASONAL,17.84,11/23/2024,12/27/2024,bookstore_employees
1159,Reese MacLeod,YYC-DT,Seasonal Associate,SEASONAL,17.36,11/23/2024,12/22/2024,bookstore_employees
1160,Jamie Martin,YYC-NW,Seasonal Associate,SEASONAL,16.32,7/3/2024,8/30/2024,bookstore_employees
1161,Dylan Singh,YYC-NW,Seasonal Associate,SEASONAL,17.74,7/14/2024,8/24/2024,bookstore_employees
1162,Avery Chen,YYC-NW,Seasonal Associate,SEASONAL,17.58,7/14/2024,8/25/2024,bookstore_employees
1163,Alex Chen,YYC-NW,Seasonal Associate,SEASONAL,16.55,7/15/2024,8/28/2024,bookstore_employees
1164,Quinn Thompson,YYC-NW,Seasonal Associate,SEASONAL,16.42,11/14/2024,12/31/2024,bookstore_employees
1165,Rowan Patel,YYC-NW,Seasonal Associate,SEASONAL,17.06,11/22/2024,12/29/2024,bookstore_employees
1166,Skyler Foster,YYC-NW,Seasonal Associate,SEASONAL,16.36,11/14/2024,12/27/2024,bookstore_employees
1167,Elliot Baker,YYC-NW,Seasonal Associate,SEASONAL,17.31,11/21/2024,12/24/2024,bookstore_employees
1168,Skyler MacLeod,YYC-NW,Seasonal Associate,SEASONAL,16.92,11/16/2024,12/27/2024,bookstore_employees
1169,Morgan Martin,YYC-SE,Seasonal Associate,SEASONAL,16.52,7/8/2024,8/28/2024,bookstore_employees
1170,Rowan Martin,YYC-SE,Seasonal Associate,SEASONAL,16.02,7/3/2024,8/25/2024,bookstore_employees
1171,Sam White,YYC-SE,Seasonal Associate,SEASONAL,17.22,7/12/2024,8/27/2024,bookstore_employees
1172,Sage Gagnon,YYC-SE,Seasonal Associate,SEASONAL,17.79,7/1/2024,8/29/2024,bookstore_employees
1173,Sam Foster,YYC-SE,Seasonal Associate,SEASONAL,17.44,11/20/2024,12/31/2024,bookstore_employees
1174,Hayden Singh,YYC-SE,Seasonal Associate,SEASONAL,16.19,11/12/2024,12/23/2024,bookstore_employees
1175,Sam White,YYC-SE,Seasonal Associate,SEASONAL,16.36,11/23/2024,12/22/2024,bookstore_employees
